author,bookformat,desc,genre,img,isbn,link,pages,title,quantity
Philip Mansel,Hardcover,"Throughout history rulers have used clothes as a form of legitimization and propaganda. While palaces, pictures, and jewels might reflect the choice of a monarchâ€™s predecessors or advisers, clothes reflected the preferences of the monarch himself. Being both personal and visible, the right costume at the right time could transform and define a monarchâ€™s reputation. Many royal leaders have known this, from Louis XIV to Catherine the Great and from Napoleon I to Princess Diana.,This intriguing book explores how rulers have sought to control their image through their appearance. Mansel shows how individual styles of dress throw light on the personalities of particular monarchs, on their court system, and on their ambitions. The book looks also at the economics of the costume industry, at patronage, at the etiquette involved in mourning dress, and at the act of dressing itself. Fascinating glimpses into the lives of European monarchs and contemporary potentates reveal the intimate connection between power and the way it is packaged.","History,Couture,Fashion,Nonfiction,Historical,Cultural,France",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328871490l/1001221.jpg,300106971,https://goodreads.com/book/show/1001221.Dressed_to_Rule,256,Dressed to Rule: Royal and Court Costume from Louis XIV to Elizabeth II,100
Helen Fremont,Paperback,"""To this day, I don't even know what my mother's real name is."",Helen Fremont was raised as a Roman Catholic. It wasn't until she was an adult, practicing law in Boston, that she discovered her parents were Jewish--Holocaust survivors living invented lives. Not even their names were their own. In this powerful memoir, Helen Fremont delves into the secrets that held her family in a bond of silence for more than four decades, recounting with heartbreaking clarity a remarkable tale of survival, as vivid as fiction but with the resonance of truth.,Driven to uncover their roots, Fremont and her sister pieced together an astonishing story: of Siberian Gulags and Italian royalty, of concentration camps and buried lives. ,After Long Silence, is about the devastating price of hiding the truth; about families; about the steps we take, foolish or wise, to protect ourselves and our loved ones. No one who reads this book can be unmoved, or fail to understand the seductive, damaging power of secrets.,What Fremont and her sister discover is an astonishing story: one of Siberian gulags and Italian royalty, of concentration camps and buried lives. AFTER LONG SILENCE is about the devastating price of hiding the truth; about families; about the steps we take, foolish or wise, to protect ourselves and our loved ones. No one who reads this book can be unmoved, or fail to understand the seductive, damaging power of secrets. -->","Autobiography,Memoir,Nonfiction,World War II,Holocaust,History,War,World War II,Biography,Biography,Autobiography,Biography Memoir,War,Literature,Jewish",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320538977l/1001282.jpg,385333706,https://goodreads.com/book/show/1001282.After_Long_Silence,368,After Long Silence,48
William  James,Paperback,"This is the first inexpensive edition of the complete ,Long Course in Principles of Psychology,, one of the great classics of modern Western literature and science and the source of the ripest thoughts of Americaâ€™s most important philosopher. As such, it should not be confused with the many abridgements that omit key sections.,The book presents lucid descriptions of human mental activity, with detailed considerations of the stream of thought, consciousness, time perception, memory, imagination, emotions, reason, abnormal phenomena, and similar topics. In its course it takes into account the work of Berkeley, Binet, Bradley, Darwin, Descartes, Fechner, Galton, Green, Helmholtz, Herbart, Hume, Janet, Kant, Lange, Lotze, Locke, Mill, Royce, Schopenhauer, Spinoza, Wundt, and scores of others. It examines contrasting interpretations of mental phenomena, treating introspective analysis, philosophical interpretations, and experimental research.,It remains unsurpassed today as a brilliantly written survey of William Jamesâ€™ timeless view of psychology.","Psychology,Philosophy,Nonfiction,Science,Classics,Reference,Textbooks,Self Help,Literature,19th Century,History",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389225696l/1001304.jpg,486203816,https://goodreads.com/book/show/1001304.The_Principles_of_Psychology,720,The Principles of Psychology: Volume 1,99
"Dan Sleigh,AndrÃ© Brink",Hardcover,"This novel of epic proportions from South Africa, set between 1650 and 1710, covers the first fifty years of the Dutch colony at the Cape of Good Hope. Beautifully rendered, this is a world and a time never before dealt with in fiction-a period when powerful colonizers took over the lands of Hottentot tribes, exposing aborigines for the first time to Western eyes and Western ways. Through the life stories of seven men-all involved with and defined in one way or another by Pieternella, the beautiful daughter of the first mixed marriage of the new colony-we gain an understanding of the vast historical forces at work.,Teeming with characters, rich with lived experience, gripping in its unexpected turns, Islands is a story of greed, power, war, courage, and international intrigue, at once a meticulously researched portrait of the age, and a great adventure story.","Historical,Historical Fiction,Cultural,Africa,Southern Africa,South Africa,Fiction,Historical,Literature,African Literature,Contemporary,Literature,Literature,21st Century,Eastern Africa,Mauritius",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328876739l/1001309.jpg,015101115X,https://goodreads.com/book/show/1001309.Islands,768,Islands,21
"Christopher Peterson,Martin E.P. Seligman",Hardcover,"Character has become a front-and-center topic in contemporary discourse, but this term does not have a fixed meaning. Character may be simply defined by what someone does not do, but a more active and thorough definition is necessary, one that addresses certain vital questions. Is character a singular characteristic of an individual, or is it composed of different aspects? Does character--however we define it--exist in degrees, or is it simply something one happens to have? How can character be developed? Can it be learned? Relatedly, can it be taught, and who might be the most effective teacher? What roles are played by family, schools, the media, religion, and the larger culture? This groundbreaking handbook of character strengths and virtues is the first progress report from a prestigious group of researchers who have undertaken the systematic classification and measurement of widely valued positive traits. They approach good character in terms of separate strengths-authenticity, persistence, kindness, gratitude, hope, humor, and so on-each of which exists in degrees.,Character Strengths and Virtues, classifies twenty-four specific strengths under six broad virtues that consistently emerge across history and culture: wisdom, courage, humanity, justice, temperance, and transcendence. Each strength is thoroughly examined in its own chapter, with special attention to its meaning, explanation, measurement, causes, correlates, consequences, and development across the life span, as well as to strategies for its deliberate cultivation. This book demands the attention of anyone interested in psychology and what it can teach about the good life.","Psychology,Philosophy,Nonfiction,Reference,Self Help,Personal Development,Self Help,Parenting,Education,Business,Psychology,Counselling",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348620946l/100130.jpg,195167015,https://goodreads.com/book/show/100130.Character_Strengths_and_Virtues,800,Character Strengths and Virtues: A Handbook and Classification,136
Christopher  Morley,Paperback,"Roger Mifflin is part pixie, part sage, part noble savage, and all God's creature. With his traveling book wagon named Parnassus, he moves through the New England countryside of 1915 on an itinerant mission of enlightenment. Mifflin's delight in books and authors is infectious--with his singular philosophy and bright eyes, he comes to represent the heart and soul of the book world. But a certain spirited spinster, disgruntled with her life, may have a hand in changing all that. This roaring good adventure yarn is spiced with fiery roadside brawls, heroic escapes from death, the most groaning boards in the history of Yankee cookery, and a rare love story--not to mention a glimpse at a feminist perspective from the early 1900s.","Fiction,Writing,Books About Books,Classics,Humor,Adventure,Novella,Historical,Historical Fiction,Romance,Literature,Audiobook",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465495291l/1001312._SY475_.jpg,1414270658,https://goodreads.com/book/show/1001312.Parnassus_on_Wheels,152,Parnassus on Wheels,65
"Fernando Henrique Cardoso,Brian Winter",Paperback,"Fernando Henrique Cardoso received a phone call in the middle of the night asking him to be the new Finance Minister of Brazil. As he put the phone down and stared into the darkness of his hotel room, he feared he'd been handed a political death sentence. The year was 1993, and he would be responsible for an economy that had had seven different currencies in the previous eight years to cope with inflation that had run at 3000 percent a year. Brazil had a habit of chewing up finance ministers with the ferocity of an Amazon piranha. This was just one of the turns in a largely unscripted and sometimes unwanted political career. In exile during the harshest period of the junta that ruled Brazil for twenty years, Cardoso started his political life with a tentative run for the Federal Senate in 1978. Within fifteen years, and despite himself, this former sociologist was running the country.,And what a country! Brazil, it is often said, is on the edge of modernity, striding with one foot in mid-air towards the future, the other still rooted deep in a traditional past. It is a land of sophisticated music and brutal gold-digging, of the next global superpower and the last old-time coffee plantations. It is gloriously ungovernable, irrepressibly attractive, and home to the family, friends and extraordinary life of Fernando Henrique Cardoso. This is his story and his love song to his country.","History,Cultural,Brazil,Nonfiction,Biography,Politics,Autobiography,Memoir,Economics,Culture,Society",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437014640l/1001322._SY475_.jpg,1586483242,https://goodreads.com/book/show/1001322.The_Accidental_President_of_Brazil,291,The Accidental President of Brazil: A Memoir,116
Gustavo Gorriti,Paperback,"First published in Peru in 1990, ,The Shining Path, was immediately hailed as one of the finest works on the insurgency that plagued that nation for over fifteen years. A richly detailed and absorbing account, it covers the dramatic years between the guerrillas' opening attack in 1980 and President Fernando Belaunde's reluctant decision to send in the military to contain the growing rebellion in late 1982. Covering the strategy, actions, successes, and setbacks of both the government and the rebels, the book shows how the tightly organized insurgency forced itself upon an unwilling society just after the transition from an authoritarian to a democratic regime.,One of Peru's most distinguished journalists, Gustavo Gorriti first covered the Shining Path movement for the leading Peruvian newsweekly, ,Caretas,. Drawing on hundreds of interviews and an impressive array of government and Shining Path documents, he weaves his careful research into a vivid portrait of the now-jailed Shining Path leader Abimael Guzman, Belaunde and his generals, and the unfolding drama of the fiercest war fought on Peruvian soil since the Chilean invasion a century before.","History,Nonfiction,Politics",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348583091l/1001325.jpg,807846767,https://goodreads.com/book/show/1001325.The_Shining_Path,318,The Shining Path: A History of the Millenarian War in Peru,22
Robert J. Shiller,Paperback,"As Robert Shillerâ€™s new 2009 preface to his prescient classic on behavioral economics and market volatility asserts, the irrational exuberance of the stock and housing markets â€œhas been ended by an economic crisis of a magnitude not seen since the Great Depression of the 1930s.â€ As we all, ordinary Americans and professional investors alike, crawl from the wreckage of our heedless bubble economy, the shrewd insights and sober warnings, and hard facts that Shiller marshals in this book are more invaluable than ever. ,The original and bestselling 2000 edition of Irrational Exuberance evoked Alan Greenspanâ€™s infamous 1996 use of that phrase to explain the alternately soaring and declining stock market. It predicted the collapse of the tech stock bubble through an analysis of the structural, cultural, and psychological factors behind levels of price growth not reflected in any other sector of the economy. In the second edition (2005), Shiller folded real estate into his analysis of market volatility, marshalling evidence that housing prices were dangerously inflated as well, a bubble that could soon burst, leading to a â€œstring of bankruptciesâ€ and a â€œworldwide recession.â€ That indeed came to pass, with consequences that the 2009 preface to this edition deals with. ,Irrational Exuberance is more than ever a cogent, chilling, and astonishingly far-seeing analytical work that no one with any money in any market anywhere can afford not to readâ€“and heed.","Economics,Economics,Finance,Business,Nonfiction,Psychology,Currency,Money,History,Finance,Personal Finance,Science,Philosophy",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384376065l/100132.jpg,767923634,https://goodreads.com/book/show/100132.Irrational_Exuberance,304,Irrational Exuberance,2
Marilyn Butler,Paperback,"It is often said that Jane Austen in the countryside remained isolated from the great events of her time. But as Marilyn Butler points out in ,Jane Austen and the War of Ideas,, Austen was not isolated from reading novels, and novels carried controversy. The sentimental novel of the previous generation, the Jacobin novel of William Godwin, the philosophical comedy of Robert Bage and Maria Edgeworth--all conveyed their own kind of ideological meaning. By recognizing Austen's relationship to the literature of ideas, Butler offers acute readings of each of the novels and an intellectual context in which to see them as a whole.","Criticism,Literary Criticism,Nonfiction,Criticism,Language,Writing,Literature,History,Biography",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420787916l/1001337.jpg,198129688,https://goodreads.com/book/show/1001337.Jane_Austen_and_the_War_of_Ideas,356,Jane Austen and the War of Ideas,32
Mark Lee,Paperback,"Photojournalist Nicky Bettencourt thinks he's seen everything until he teams up with the legendary war correspondent Daniel McFarland. To Daniel, the story is everything; people come later. But after a plane crash nearly takes his life, Daniel begins to see the world in a different way. He falls in love with Julia Cadell, an idealistic British doctor, and together they find refuge at an old canal house in the center of London. Soon after, Nicky, Daniel, and Julia are called to East Timor, where the government has fled and the entire country is a war zone, and Daniel must decide whether to get the story of a lifetime or to see beyond the headlines to the people whose lives are in the balance. ,Fast-paced and gorgeously written, The Canal House is a gripping novel of love, faith, and friendship set in the dangerous world of international wartime journalism. ","Fiction,Cultural,Australia,Eastern Africa,Uganda,Historical,Historical Fiction",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328874804l/1001341.jpg,156029545,https://goodreads.com/book/show/1001341.The_Canal_House,368,The Canal House,12
B. Mark Smith,Paperback,"The stock market is big news today. Over 50 percent of the American public own stocks directly or indirectly, meaning that the financial well-being of tens of millions of people is directly tied to the market. Alan Greenspan has stated that it is not possible to understand the modern economy without understanding the stock market. But this has not always been so. ,Many people now alive can remember a very different time, when the stock market was little more than a primitive insiders' game, viewed by most Americans with skepticism and suspicion. In ,Toward Rational Exuberance,, B. Mark Smith, a professional stock trader with two decades of practical experience, tells the story of how this stunning transformation occurred. It is a fascinating story, involving colorful personalities, dramatic events, and revolutionary new ideas. In the course of the narrative, Smith traces the evolution of popular theories of stock market behavior, showing how they have greatly influenced the way the investing public views the market. But he also shows how some of these theories are based on faulty interpretations of market history that may lead investors astray. Freshly updated, this is a timely -- and definitive -- account of the market's true history and dangerous myths.","Economics,Finance,Economics,History,Finance,Personal Finance,Nonfiction,Currency,Money,Business,Menage,M M M",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311994684l/100135.jpg,374528500,https://goodreads.com/book/show/100135.Toward_Rational_Exuberance,352,Toward Rational Exuberance: The Evolution of the Modern Stock Market,92
Rocky McElveen,Paperback,"In ,Wild Men, Wild Alaska, professional hunting and fishing guide and outfitter Rocky McElveen tells the stories of his own adventures as well as those of some of his well-known clients. The book takes readers directly into the Alaskan bush, and shares the intense challenges of a majestic wilderness that pushes a man to his limits.","Nonfiction,Nature,Outdoors,Christian,Environment,Nature,Biography",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380855834l/1001369.jpg,785289011,https://goodreads.com/book/show/1001369.Wild_Men_Wild_Alaska,224,"Wild Men, Wild Alaska: Finding What Lies Beyond the Limits",21
"Carly Mine,Carly Mine",Paperback,"When adult entertainment first appeared on the pop culture radar as an underground film phenomenon, women were little more than starlets, whoâ€”for the most partâ€”answered to men. But as pornography evolved in step with technology and consumer demand over the past twenty years, it also reflected the shifting political climate. Greater sexual equality started to appear both in front of and behind the cameras. Not only did female performers take charge for the first time of their careers, but women began running the companies people purchase movies from, opening woman-friendly sex shops and writing thoughtful, analytical commentary on pornography-often from a feminist perspective.,In ,Naked Ambition,, adult entertainment industry insider Carly Milne takes readers behind the scenes and on to the frontlines of today's woman-owned and supported adult entertainment industry that has revolutionized both pornography and the traditional feminist movement that has for years often stood in opposition to it. Personal essays by Jenna Jameson, Theresa Flynt, Violet Blue, Holly Randall, Tristan Taormino, Tera Patrick, Danni Ashe, Nina Hartley, Jane Duvall and Rachel Kramer Bussel, among other top women pornographers and pornography supporters showcase this relatively recent but fast-growing segment of adult entertainment producers and consumers.","Nonfiction,Sociology,Sexuality,Sex Work,Feminism,Sexuality,Gender,GLBT,Queer",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348423970l/1001379.jpg,786715901,https://goodreads.com/book/show/1001379.Naked_Ambition,340,Naked Ambition: Women Who Are Changing Pornography,122
Martin Evans,Hardcover,"Invaded in 1830, populated by one million settlers who co-existed uneasily with nine million Arabs and Berbers, Algeria was different from other French colonies because it was administered as an integral part of France, in theory no different from Normandy or Brittany. The depth and scale of the colonization process explains why the Algerian War of 1954 to 1962 was one of the longest and most violent of the decolonization struggles.,An undeclared war in the sense that there was no formal beginning of hostilities, the war produced huge tensions that brought down four governments, ended the Fourth Republic in 1958, and mired the French army in accusations of torture and mass human rights abuses. In carefully re-examining the origins and consequences of the conflict, Martin Evans argues that it was the Socialist led Republican Front, in power from January 1956 until May 1957, which was the defining moment in the war. Predicated on the belief in the universal civilizing mission of the Fourth Republic, coupled with the conviction that Algerian nationalism was feudal and religiously fanatical in character, the Republican Front dramatically intensified the war in the spring of 1956.,Drawing upon previously classified archival sources as well as new oral testimonies, this book underlines the conflict of values between the Republican Front and Algerian nationalism, explaining how this clash produced patterns of thought and action, such as the institutionalization of torture and the raising of pro-French Muslim militias, which tragically polarized choices and framed all subsequent stages of the conflict.","History,Cultural,Africa,Northern Africa,Algeria,Cultural,France,Nonfiction,Religion,Islam,Military,Military History,Africa,Northern Africa",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348010302l/10013840.jpg,192803506,https://goodreads.com/book/show/10013840-algeria,457,Algeria: France's Undeclared War,70
Jerome Murphy-O'Connor,Paperback,"For someone who has exercised such a profound influence on Christian theology, Paul remains a shadowy figure behind the barrier of his complicated and difficult biblical letters. Debates about his meaning have deflected attention from his personality, yet his personality is an important key to understanding his theological ideas. This book redresses the balance. Jerome Murphy-O'Connor's disciplined imagination, nourished by a lifetime of research, shapes numerous textual, historical, and archaeological details into a colourful and enjoyable story of which Paul is the flawed but undefeated hero., This chronological narrative offers new insights into Paul's intellectual, emotional, and religious development and puts his travels, mission, and theological ideas into a plausible biographical context. As he changes from an assimilated Jewish teenager in Tarsus to a competitive Pharisee in Jerusalem and then to a driven missionary of Christ, the sometimes contradictory components of Paul's complex personality emerge from the way he interacts with people and problems. His theology was forged in dialogue and becomes more intelligible as our appreciation of his person deepens. In Jerome Murphy-O'Connor's engaging biography, the Apostle comes to life as a complex, intensely human individual.","Religion,Religion,Theology,Christianity,New Testament",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348064280l/1001384.jpg,199283842,https://goodreads.com/book/show/1001384.Paul,259,Paul: His Story,17
Marion Weinstein,Paperback,"Marion Weinstein was one of the first witches to release a Book of Shadows to the public. Here is the revised and updated version of Earth Magic, the author's personal book of magical practice, made available for today's Witches. Based on an indepth study of the many facets of Witchcraft, Earth Magic presents the religion as positive and life-affirming.The book is filled with how-to's of a practical nature, as is traditional in Witchcraft. It is intended to be a springboard, to unlock the reader's psychic Wiccan abilities and guide them into the creation of their own unique and personal work. Every technique is explained in detail, in keeping with Weinstein's proviso that one should never attempt to work any magic unless one understands it fully. The goal is to encourage true Witchcraft expertise and creativity.,The information from the original edition is still available, as well as a treasure trove of new material, some of which has never been seen before. In this thoroughly revised edition, you will learn: ,-- How to set up psychic protection.,-- How to work string and cord magic.,-- Working with the phases of the Moon.,-- Forming and working with your own coven.,-- Visualization in a Witch's mode.,-- Choices of Deity alignments from a wide realm of cultures.,-- Not one, but two methods of Manifestation: Creation Manifestation and Affinity Manifestation.,-- Creating rituals, creating Words of Power, composing one's own spells, use of talismans, candles, pendulums, Witch's Bottles, scrying, oracles, and much more.","Religion,Wicca,Witchcraft,Spirituality,Nonfiction,Religion,Paganism,Religion,Occult,Fantasy,Magic,Religion,Goddess,Spirituality,New Age",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348388412l/1001409.jpg,1564146383,https://goodreads.com/book/show/1001409.Earth_Magic,224,Earth Magic: A Book of Shadows for Positive Witches,119
